params,sse,elapsed_time_s,best_sse_so_far
"[9.27660708210211, 0.16225867151053242, 17.799655389136557, 13.087056633712741, 89.99321720928432, 0.24000929616044675, 0.37811223053268406, 0.09199035511607316, 0.2862345973276021, 0.1486163129217116, 0.6306830915905579, 435366.26498700684, 0.00039738803846594217, 120604.22450720142, 322114.24319304526, 823133.0677099004, 8.722797548065912e-06, 4.7066940008573985e-06, 1.1590979583352041, 0.008403961062834303, 988889.1888538193]",10414515.80534903,0.99633217,10414515.80534903
"[4.819091298678958, 0.08162228477838412, 28.59285541412186, 40.41761028230885, 21.057224765391545, 0.797499093201814, 0.8040701248596003, 0.06263305297331181, 0.6036333590901298, 0.1741915877667239, 0.5643762462649807, 589973.7274168578, 0.0006943539923669221, 635971.349783381, 293571.79699377704, 3975.3058101211827, 9.537172872936583e-06, 2.9772220910099957e-06, 2.9571339208713523, 0.008723188268049445, 144106.80805971925]",4468976927973.306,1.07269788,10414515.80534903
"[13.458023415087316, 0.4275912091216219, 29.605825410359174, 47.35433704977284, 81.80159669381258, 0.12899073180483409, 0.31202010230927474, 0.07038844409173228, 0.3605798618504725, 0.27841884104342246, 0.6582235166213353, 319134.26107579225, 0.0009996697986022428, 115153.53667248736, 402834.471880059, 376788.4441763162, 7.464613404482226e-06, 5.554573498299721e-06, 3.64409753570084, 0.0014478876606418799, 646476.8289912773]",8110144.30502921,1.52810764,8110144.30502921
"[45.52872126672152, 0.20780301059484033, 40.81297159227887, 19.35969019210939, 44.41936674921114, 0.8114231337640155, 0.6795560434904097, 0.059599323161099844, 0.3319243477064735, 0.035476107225352556, 0.7190416660659432, 973357.112567431, 0.000595579703668344, 652309.0674908906, 766380.5271094192, 244308.50809087488, 6.736181040501595e-06, 1.3204449349458836e-06, 4.273942642276939, 0.007749372181743271, 201140.73605022213]",36575035.85440174,1.77553487,8110144.30502921
"[47.04842618520504, 0.1338310958227114, 78.56118425878245, 36.601538278270525, 48.43840449664456, 0.41518271093531073, 0.17572964505439362, 0.05032490651684279, 0.9904832871098543, 0.22893439169128704, 0.8007681278628245, 799097.1994156062, 0.00032475862081245263, 846374.0549789685, 222219.3145010854, 736901.4401468412, 7.233824327140499e-06, 4.361242263175354e-06, 3.511556768916511, 0.0019287717623214552, 77738.82748971792]",12338612.35741365,2.47851014,8110144.30502921
"[36.295136495059914, 0.18446136858614098, 82.57936693713845, 28.04579259784939, 71.58329618885841, 0.9686787255167506, 0.1514689447546312, 0.023690056615317274, 0.3045135828270496, 0.5239222994759613, 0.5043058308812872, 544922.3180234209, 0.0004872915831841542, 697123.9327538422, 183882.74527953155, 699193.7381024009, 8.834145100901826e-06, 5.6638883320173054e-06, 0.9073962739468853, 0.007331512923867633, 435666.79283405846]",13165259.75069102,3.1373446,8110144.30502921
"[20.81843484484534, 0.4504427217751324, 68.46993801697414, 45.35426450287339, 30.457535242081494, 0.5716653354910314, 0.3663685921110537, 0.018253101134257578, 0.417185084577422, 0.11966888468058287, 0.5685879415382019, 148910.2467551311, 0.0006505779357790225, 531051.0110082862, 365439.31262444495, 296326.54142166977, 5.62479498046293e-06, 5.037020786184073e-06, 4.917867475185172, 0.00901962422637184, 744365.6683926589]",12848925.0617848,3.83010387,8110144.30502921
"[10.77140041695843, 0.3091441761645007, 19.702703501213733, 17.349616009813573, 88.9972832933804, 0.026922377997195206, 0.8171002244605505, 0.05545211370234132, 0.3932099892125833, 0.5343533507786005, 0.2713520438560433, 406088.89857947244, 0.0008662637373556721, 120430.45697056528, 333314.5972756477, 734306.094747694, 4.202229421016079e-06, 6.411535566211285e-06, 2.18161956609723, 0.006483237883920434, 919832.3791627567]",5531639.90861665,4.38566971,5531639.90861665
"[24.31191491051836, 0.08081606917414913, 42.08299544982692, 13.842751280313948, 56.05074669942735, 0.15758103537168988, 0.9353070948340593, 0.018143520584562395, 0.016364400910720882, 0.8531573588798296, 0.14547815360282312, 898713.2946647685, 0.0009588493045985576, 335944.3338792721, 84631.60047505623, 564252.000407349, 1.3021883773202874e-06, 1.4989120397718337e-06, 1.454809554628551, 0.0041132814769624165, 781896.229501389]",13164745.69958688,4.62023067,5531639.90861665
"[6.4813912324371366, 0.3075252852822086, 14.292109028736556, 12.414026326451026, 66.93287895776412, 0.43653977342915207, 0.45129287328866186, 0.08025235618059928, 0.16031185996474173, 0.868522060933773, 0.9495462108658859, 553517.9197290422, 0.0005698102750276409, 306882.3925952796, 330304.1754562131, 384400.92608016566, 9.930999639108984e-06, 5.822049792160911e-06, 3.7551429719780707, 0.009804123910272551, 488818.28650178347]",1225962.04860867,4.80889988,1225962.04860867
