params,sse,elapsed_time_s,best_sse_so_far
"[18.551202018549144, 0.3306648676737039, 93.77456396681512, 47.08083704733413, 59.78257372501925, 0.932218136310343, 0.8252114886423553, 0.019989785709989064, 0.5139180449840735, 0.6232543295577873, 0.41088044044823885, 69330.21002224088, 0.00018167131201331796, 64325.00278883877, 793956.7098038256, 231006.9492061659, 3.828184688900165e-07, 1.9274580253078637e-06, 1.8316890283391467, 0.003216061958592514, 944998.2072767441]",12979477.38686396,0.9949615,12979477.38686396
"[19.780152059529932, 0.415232942165428, 28.75814034439355, 48.05795937827285, 35.20491591726841, 0.6922837082601608, 0.08371755415990165, 0.01850190902262525, 0.30759547681832056, 0.712581842006152, 0.7997058608730787, 487581.45186876104, 7.38216743360225e-05, 487791.15998554125, 681685.8804995915, 379270.2216524693, 1.9023878652006478e-06, 3.714424690599496e-06, 3.284388537876511, 0.009081017022510404, 203027.0484960638]",12978615.21042078,1.05861163,12978615.21042078
"[49.40824486393193, 0.047851626497105136, 76.55703458835781, 34.64559907729371, 25.728440008756262, 0.37129000188749683, 0.7990711436914578, 0.06669713909614383, 0.5904709192611355, 0.8062154805572149, 0.6992059980714013, 424010.32150563167, 4.581178626406743e-05, 558413.1107579644, 382957.1709682072, 262848.052643439, 2.4322678881359674e-06, 4.511112438072113e-06, 0.5653356450247653, 0.0022765958179365733, 447140.87353029224]",12979072.03811993,1.1282115,12978615.21042078
"[39.252765783610656, 0.4847589610636091, 34.36488491372599, 41.12468193346006, 18.024760276700732, 0.6575543617378785, 0.4090294322614521, 0.07995356854161935, 0.7478749088707407, 0.44188107009720373, 0.10122866283495086, 295432.46623051417, 0.0006467436857446907, 592239.2891103067, 800526.0931279799, 887506.0208346667, 5.0662141576263575e-06, 7.897799280597943e-06, 3.4421928620831967, 0.0004176798286316191, 921189.1981151373]",12976051.90580548,1.48387861,12976051.90580548
"[8.881199205676785, 0.49012769317681004, 74.73855439323245, 35.78381094277231, 98.72980309277891, 0.042056565521996866, 0.7746464399337295, 0.009902470158614833, 0.5640688881316196, 0.07942728311312075, 0.28776235141375167, 674323.266354746, 0.00023278528441028306, 191225.10777637022, 995814.7977097296, 901909.758588779, 6.200437908520894e-06, 6.942358916465418e-06, 1.5800876705908455, 0.009750094934354383, 883030.8076518583]",12539222.36283947,1.55145478,12539222.36283947
"[34.385570077171494, 0.4306004024017309, 47.82821896943325, 18.562330639105202, 86.0105100485839, 0.7591091377212592, 0.9153127599695345, 0.061290369861632533, 0.5731633041741999, 0.6337200682443211, 0.23919562102428488, 828503.0482035388, 0.0005056600845713208, 310907.3249493986, 863264.2465068755, 878894.6724432927, 3.329559666005435e-06, 7.49041281056025e-06, 3.594171149991056, 0.008762496368693461, 492064.97831229505]",9656556.99764481,1.92170787,9656556.99764481
"[36.08088784360178, 0.08392798096742062, 45.38176682814366, 11.325354276585356, 8.816691009866567, 0.5800143107329251, 0.027071109038197066, 0.09607217514003889, 0.7821456064774673, 0.8739562981222259, 0.4048432354974488, 327267.0688547631, 0.0008010786425989178, 358695.94410843664, 978403.3097728489, 514612.840944205, 3.4912436580142694e-06, 9.639271366197358e-06, 2.3659527573948864, 0.008359932130799245, 383572.0060852492]",12978313.40662735,1.98013473,9656556.99764481
"[35.47313092397533, 0.15460930311266183, 81.91944477149562, 42.36110654525057, 92.9580518228173, 0.5362209965134611, 0.0314338608886737, 0.06860529365712098, 0.7184248105574557, 0.04630165310478879, 0.1700723792024886, 576897.2767335017, 0.0003712073147369113, 233826.28471778933, 632813.015438043, 728952.6145299365, 4.4203923593488175e-06, 1.008589042755689e-06, 4.535394139903791, 0.004313398067825331, 872123.4583445688]",2023309.1954988,2.39968824,2023309.1954988
"[38.235156760316364, 0.17530572325803154, 95.59264375021537, 5.356594465271615, 96.22165366786129, 0.6286533961682189, 0.20449060967194524, 0.08253153261089964, 0.7366531342921013, 0.8884140315522498, 0.2801481734165758, 95807.1665995598, 0.0006995229464771004, 998581.1356857334, 838527.3777492197, 958622.3339657699, 8.783234230425852e-06, 2.2409609480577893e-06, 4.593397250703529, 0.005618540365069706, 569543.1570116415]",12917948.54112306,2.71680403,2023309.1954988
"[40.19881711275022, 0.05807313756108458, 40.99379603837923, 31.544004655156467, 50.89294168413633, 0.21986029939031956, 0.5158857222592512, 0.07440989129615716, 0.6619895727278717, 0.06630722560930877, 0.14913791827187745, 621772.800369063, 0.0008188920125254088, 260604.76257819618, 594731.4222804875, 822175.6468883465, 4.824225909529464e-06, 6.598655590429795e-06, 2.749125952852867, 0.00795525501746204, 141462.29280984428]",6119211314364.078,3.36239433,2023309.1954988
