params,sse,elapsed_time_s,best_sse_so_far
"[29.523039832409225, 0.45429559189796903, 23.858244390942993, 10.464650390700303, 81.52745373522532, 0.4541338660071253, 0.49843452595136256, 0.07032857711414747, 0.2583086243428213, 0.7299827502591748, 0.17910872279960954, 535966.9368403014, 0.0008008647035541456, 515019.64088029135, 265214.17405961116, 19740.497859528383, 5.626599913189488e-06, 5.308078553133561e-07, 3.3405791663715405, 0.003828039371143324, 961454.5502078384]",13520977.55269885,0.38804078,13520977.55269885
"[42.305463232471546, 0.4686709630561817, 28.485464763054814, 4.290524406027071, 67.15248881450286, 0.7775351679996246, 0.47276980498888943, 0.06659411677742869, 0.19685848175315773, 0.9652778320625484, 0.8351993501590257, 409257.44357175985, 0.0003787935630746305, 365417.2500286278, 118243.69570187246, 11349.094782904496, 4.099072410200021e-06, 6.9066761313641075e-06, 1.6691566657829493, 0.0024824726355484462, 997746.2996149132]",13644705.24277549,0.46584535,13520977.55269885
"[29.755631084748146, 0.2693710214883479, 25.644184501612443, 23.70658331039474, 55.562820378295186, 0.715726710888318, 0.9343978932272626, 0.05929078706704923, 0.5695503072323462, 0.8364774391510458, 0.9033388985037704, 512108.0621199311, 0.0007556216574781866, 451543.3477383229, 277062.5094374268, 39442.55680597709, 9.57981335646063e-06, 7.370025078135751e-07, 2.2248728035931524, 0.008445189045261824, 977462.1211962947]",13392409.7701656,0.60993004,13392409.7701656
"[48.15465055134184, 0.2933712249201233, 5.333551297313191, 31.826501967048294, 99.20489519298889, 0.40071051398250157, 0.4633455649167891, 0.07547004873204452, 0.511905647323896, 0.6597776767642349, 0.7732008682479375, 533996.5188500247, 0.0007095893692539699, 363603.3496820924, 342294.65693875065, 3458.682363881984, 8.130500026783933e-06, 1.7327823981281523e-06, 1.6491373609773403, 0.007644046787235589, 999999.8438591377]",12899147.16520595,0.75470853,12899147.16520595
"[35.95867536447222, 0.400134177293917, 5.498904987369441, 49.765863143507445, 79.16309644977699, 0.6546366092690024, 0.885244365742053, 0.08462890269387847, 0.40249996292003964, 0.8078077163407231, 0.4557608883309229, 473443.9330017135, 0.0003721864751737277, 510365.5028532257, 252253.98846036603, 146367.9185398203, 6.255263079661704e-07, 3.572629899708682e-06, 2.7099555236174293, 0.006312693674905616, 988529.7615469332]",12837108.51689364,1.09718895,12837108.51689364
"[36.22266882611784, 0.42596669523879105, 11.32517218885151, 18.608015568127055, 69.60116483773848, 0.35524730934262094, 0.6793250947645241, 0.09372425100724385, 0.25496582987201677, 0.7785301157114789, 0.5343627244840343, 536009.632425739, 0.0006743476499418133, 510079.2342426141, 177720.284714774, 89406.87975621701, 7.459452316715186e-06, 1.0332104228941344e-06, 3.4651582873582996, 0.0045117458632025695, 968698.6847275199]",11508777.72043495,1.22755814,11508777.72043495
"[24.46402911501957, 0.13122490774033796, 23.075751602977476, 13.8840347994282, 95.00574235200853, 0.5905502718280129, 0.4848246189339589, 0.09113058947936564, 0.7241955894640515, 0.779019960067762, 0.4483901315864837, 492204.523545875, 1.1655076491843154e-05, 624830.1105247993, 194390.54446642066, 60552.2069199441, 6.482493404363981e-06, 2.0694600149326056e-06, 4.642949638744826, 0.006176446003425601, 998732.0652320333]",796730834.5533047,1.49462843,11508777.72043495
"[31.30142961253779, 0.38853975316398437, 19.61687867849788, 38.928921516418576, 5.271841019366008, 0.1685966946084007, 0.6780058542496065, 0.08528484298489704, 0.29215738843143246, 0.8736078674490025, 0.7945173391143008, 584464.6540375813, 0.00030604354657319625, 486160.51248463115, 219945.74271752848, 65092.91178082225, 5.45704110037383e-06, 3.367032493409374e-06, 4.883778781227623, 0.0038210530725709003, 987606.9111039335]",11005635.36600466,1.56629086,11005635.36600466
"[22.122924539033896, 0.20079528945648867, 14.024053633626055, 45.46989868361424, 55.21952845396099, 0.9514010081764492, 0.31923966764225276, 0.08492487182328416, 0.33088945719198315, 0.7020753017486907, 0.9959631546817769, 480486.7742560388, 0.0008505463925471935, 453329.1551658225, 185106.7644850141, 22759.643164017987, 4.201133575599085e-06, 6.822386624264617e-06, 3.7331042418268146, 0.006546920027375072, 999652.1625859801]",9887001.52780768,1.8583374,9887001.52780768
"[48.14294233081068, 0.38901720645282983, 8.919355569989506, 26.908797611552266, 95.15393413760411, 0.39187251169670356, 0.973718207336134, 0.06854856603256962, 0.9202752308073108, 0.9281599530626619, 0.38478845346621365, 490899.51769712754, 0.00027562642861354543, 424000.92575052544, 267305.35230802716, 46027.793241097854, 3.4343812952258225e-06, 5.024259009177061e-06, 2.9267587910272232, 0.008937359927675755, 979056.4073679352]",4226124.20653704,1.98322964,4226124.20653704
"[48.300312146094754, 0.49968351719530274, 3.456945037641712, 14.086505705771671, 79.2145205943018, 0.3668550195153739, 0.541644641226696, 0.08783042702007245, 0.4761241896297236, 0.9300579637565358, 0.9183862287470007, 471492.7836734352, 0.0008845133892007956, 494302.50851985527, 346426.0397125959, 17626.109101100927, 8.224104881677785e-07, 4.812861567207605e-06, 4.804302025538946, 0.008767675471768745, 999099.8104611832]",938453.96125908,2.04745793,938453.96125908
"[46.70612959452959, 0.4998851024939432, 34.776459965400065, 42.18666722480991, 19.065298376967135, 0.35267893619717594, 0.7055052405599954, 0.08359864325537913, 0.6700591351900282, 0.9605954222642219, 0.6884534407858294, 500312.91654946824, 0.0006618083526987095, 483551.05281321297, 283194.97351750516, 70630.01352866487, 1.166388584639068e-06, 2.0851167482652597e-06, 3.824343116123879, 0.006495742700782594, 992899.462479933]",13488489.29957777,2.45336461,938453.96125908
"[25.082893349292238, 0.21523355385595266, 37.58997609049567, 49.919918166492515, 36.63742675812033, 0.6336232719224678, 0.99138456820388, 0.09347336598363505, 0.7684027821235987, 0.8189128498506429, 0.7673740458554453, 422421.5009599719, 0.0002020835656148636, 521713.8075610915, 241303.3622352963, 64929.495964704256, 4.836420557634849e-06, 1.7939755983795458e-06, 1.6934923314798738, 0.007654948945341672, 998173.534556072]",13496532.3239791,3.13219166,938453.96125908
"[44.93035228236968, 0.16616144516125775, 1.5991505865218656, 45.12350952791007, 92.72147404047809, 0.6192901440854508, 0.667143057303465, 0.07523484260109042, 0.9939822683848663, 0.45509844498044055, 0.7737609771787604, 429638.90606557566, 0.0005009170289941358, 460045.22731446684, 364721.08935283206, 101033.62482347644, 2.6586954987563378e-06, 2.426302751572573e-06, 0.9211990482408888, 0.00616465207046296, 997328.3198907638]",20130757.60466496,3.84609604,938453.96125908
"[43.07880364372095, 0.49091010232023, 64.06832791264912, 36.8885975112258, 27.141117164565543, 0.9984469720512599, 0.9999992059631214, 0.08226695337546149, 0.769839540263455, 0.1963621106233926, 0.46247520306936063, 432100.3449476602, 0.0006172783134312024, 482998.43896708963, 353101.3521374607, 94198.6679054421, 4.104849149327141e-06, 7.476178192109018e-06, 3.9924222962841274, 0.008268201121323699, 995171.7549444677]",10869006.8737653,4.54795313,938453.96125908
"[36.48920038524059, 0.4392357257707618, 40.90228195042738, 1.2434819796250074, 62.92274445031951, 0.8689098536518615, 0.5360615399241365, 0.09253155802416739, 0.6405065103880062, 0.503404777528153, 0.9436019787814266, 371753.5571126671, 0.00022398831510000454, 454740.2612036684, 348099.1787732566, 48725.19455639078, 9.792370260832284e-06, 3.926022055850005e-06, 4.5022989222181735, 0.008482666021422784, 997568.950143088]",13256465.08925107,5.27355647,938453.96125908
"[40.054822249046595, 0.24026916548558627, 16.494801517653965, 34.554619322364616, 88.83872976433932, 0.0225595359005535, 0.22791901809426957, 0.08793166379988948, 0.9993225263369294, 0.5034031058658315, 0.9994412601563671, 503762.7865098857, 0.0009703923978919831, 495289.9963833288, 460975.11628481257, 10667.357112248552, 6.614375281775924e-06, 8.707053365581066e-06, 1.2777737824659297, 0.008277514678099607, 977214.2585977387]",13489421.46069371,5.96759772,938453.96125908
