params,sse,elapsed_time_s,best_sse_so_far
"[24.44423687486845, 0.4939992729510972, 34.91425328185041, 42.47220138361938, 69.73643011116593, 0.6278113569824625, 0.4054727082950796, 0.018747025581188525, 0.5801622647773041, 0.016031777216924028, 0.32581906536373706, 733426.994442292, 0.000187867865028378, 307979.79332805885, 186587.63925262785, 93151.08542777757, 5.796332290619326e-06, 2.882791694343975e-06, 3.900275769650328, 0.00012597072976461778, 656185.1838273673]",5898574906.999407,0.38293791,5898574906.999407
"[26.802577832271027, 0.44056361817155787, 96.5454316183534, 43.84855941130451, 99.98369086951303, 0.8981588332453289, 0.77919268945756, 0.012035817522099167, 0.781103473572754, 0.010085533521035576, 0.018672966114139808, 669717.7150726694, 0.0002977320396001474, 324658.1793739535, 184586.64657958457, 90476.82953345524, 7.88278399381165e-06, 6.237982472580853e-06, 3.274964474592987, 0.0022071423434954023, 753022.7558662577]",312677992159789.5,0.46516132,5898574906.999407
"[13.430393527869638, 0.3147882892541716, 10.467551337087045, 39.10102386871655, 38.04071485268674, 0.9667526120421954, 0.5043542660033672, 0.014049591732826723, 0.5701973314197317, 0.14775178468760541, 0.020017435323273682, 703970.3719521587, 0.0006846798824707873, 258891.2785124803, 315519.9204561227, 121265.37142451279, 8.343177127553183e-06, 1.7641363169007357e-06, 4.024645343678663, 0.00044794306787482383, 841098.3823284742]",3670476742.6588206,0.5475111,3670476742.6588206
"[4.27032682650423, 0.45158641521988385, 55.43807106952435, 49.78605751029145, 62.904165132182385, 0.790859098269541, 0.4807139397086154, 0.012575842176859947, 0.5976501921205591, 0.10098288009985715, 0.3633198190654461, 717919.0328055271, 1.2571056144275166e-05, 319281.77770836407, 169614.46202611722, 94088.63278204523, 9.495789680781706e-06, 2.3353420559728026e-08, 2.5790247603995224, 0.0006111172820904565, 726801.1551069879]",13633117.70350182,0.92118001,13633117.70350182
"[6.855921942823906, 0.3105304337740027, 40.38139314826928, 49.99544431257819, 85.53661231521993, 0.9999859563647859, 0.08263007086375043, 0.012198281262233959, 0.7597273544466954, 0.25140638400840215, 0.5151845984252411, 644293.3673596785, 0.0001091278662041928, 206360.27237128472, 204757.46659410023, 110938.93994178309, 9.793802783056886e-06, 2.837626080437863e-06, 4.739840507992284, 0.00078968171023019, 749757.3906296574]",13467580.93496107,0.99579,13467580.93496107
"[13.66490785683988, 0.4844160016559897, 20.254404892315154, 39.09040406956987, 26.587227681769306, 0.9999301026806868, 0.3058476475419493, 0.00488769483937585, 0.8934935736923658, 0.14462047685171048, 0.3876044081784944, 598214.0718261966, 0.00023906008100227778, 251781.7345015303, 138189.9560016295, 102489.43182648183, 9.230940347536273e-06, 1.0329783394820295e-06, 4.6623227038484885, 0.0010311170329685405, 764141.7024449722]",13417997.13651792,1.31945801,13417997.13651792
"[6.086183490222744, 0.3209604390465647, 23.49956501600262, 49.99125619542197, 86.03414570641951, 0.9146019389511623, 0.5522461267992637, 0.006840769796405624, 0.5574176063673507, 0.061798349026480834, 0.44898876294345874, 600478.9527977034, 0.00017444827100238878, 305622.82516564435, 196496.7545256528, 44029.758538985945, 9.991942614749493e-06, 2.3682957132170546e-06, 4.11596915434248, 0.0002842869261822694, 693807.9292967565]",13133369.31277873,1.55730128,13133369.31277873
"[3.7946784527607833, 0.4034149098681338, 45.672014233448195, 49.93039434662435, 93.33221802741137, 0.8788778694732086, 0.7121609080793896, 0.002556052413325575, 0.9460609229735134, 0.15117053941944772, 0.4960190775738834, 648346.2075060619, 1.492339795848797e-05, 97841.49386147491, 202614.06342179136, 54923.549698346935, 7.154023918191727e-06, 9.353612555636303e-07, 4.52501230049016, 0.0007953923117540297, 720725.6064572465]",11346415.08729477,1.63840127,11346415.08729477
"[3.428267243223782, 0.4528106134634643, 25.77010952683453, 44.84381196200203, 16.898737865331235, 0.9685192354863089, 0.016711192691405648, 0.0033704718033868496, 0.9978206573207904, 0.010059221884073481, 0.2548356268292391, 603754.0208138908, 0.00031431539922876497, 222301.71231481206, 114542.94853885486, 121200.14751534673, 8.650643531935423e-06, 2.0276494164388795e-06, 4.622259673000853, 0.0012699155690491975, 791624.5759308935]",1174894343576.9067,1.78772831,11346415.08729477
"[16.36935816728615, 0.49999977113270105, 7.434572178910548, 34.00085128433083, 99.938139072594, 0.8089590676404307, 0.16109693777940215, 0.02404798496402813, 0.7326176193962591, 0.3773534498895016, 0.9018817839905762, 621141.50169775, 4.038686619499729e-05, 207500.768195135, 189757.81117986445, 116317.63598027598, 9.948318499098537e-06, 4.889393117999726e-07, 4.879448739797625, 0.00010378547764169015, 776822.2788384693]",13003153.5128767,2.63483119,11346415.08729477
