params,sse,elapsed_time_s,best_sse_so_far
"[15.199491294437854, 0.3273046960812153, 45.34576666289791, 15.570241257909023, 72.84217223338493, 0.8828754736142879, 0.804764205746179, 0.05858188949448345, 0.7816735628575416, 0.7141424895974358, 0.4755981023258497, 318765.0463609926, 0.000405888604196548, 883399.2325034488, 580375.9217187652, 144393.37216625176, 5.741142422702341e-06, 7.861074325823026e-06, 2.8130737034121576, 0.009259331800390602, 494455.61509947374]",13497235.19645644,0.99165225,13497235.19645644
"[3.310974266502525, 0.18044246993852317, 52.50724767242513, 46.155966058673286, 68.49263609746784, 0.1939775031007572, 0.9494209618301824, 0.036791988348020964, 0.1468233305588846, 0.5966713954062278, 0.09700240891851658, 830462.35752142, 0.000509101413966155, 576140.662303206, 718783.0545586616, 257543.8848920161, 7.809636239333553e-06, 4.37907164746156e-06, 4.079651150537314, 0.009727342838550668, 987532.8140164667]",539397275.2261323,1.04344964,13497235.19645644
"[17.41079172161051, 0.2054471135041489, 90.59810022110776, 13.673869898436473, 52.40189680809556, 0.3707133089136154, 0.38824558802301357, 0.061724559151844424, 0.3122879929947578, 0.9436631426271186, 0.6535236094217124, 517466.56729904923, 0.000926117098139129, 203305.91167638777, 233845.94886307238, 415687.36382337066, 4.252421074638126e-06, 2.7040685977800546e-06, 4.368648243541717, 0.0028332633733042793, 775675.5972225242]",13259182.84360647,1.22970605,13259182.84360647
"[1.9602824087879722, 0.4358488973978087, 59.66450032110733, 49.43799234964733, 68.07250420382616, 0.4372381460435645, 0.13564969223036233, 0.021967977940845262, 0.9614639471643076, 0.39879890893880876, 0.19071573046614276, 53428.95024840646, 0.0009128841016192818, 145986.31136690217, 169306.9819296504, 101455.71651013088, 4.028815824117082e-06, 4.94814782526948e-06, 3.71091584103527, 0.006704250159033867, 524192.4681367241]",10421066.0026316,1.41047001,10421066.0026316
"[37.321439163810865, 0.04627467530851561, 54.58209788780679, 8.438016392052278, 98.31456268186376, 0.8524006340301762, 0.4689756097836782, 0.06383201154790985, 0.6797772955322928, 0.562902152500732, 0.13272514860137288, 120568.1069886654, 0.000637712206569077, 325676.3274005936, 74824.485315802, 84644.89681566884, 9.367099365856784e-06, 4.102291871679646e-06, 4.1187607302885425, 0.0010959996181764482, 946530.6982148562]",5378007.518928,1.55053067,5378007.518928
"[39.410085727229344, 0.4093355812821547, 52.30538516872827, 3.5146848169809948, 84.89482574967815, 0.9305694814599298, 0.4297528515531265, 0.01580494632974049, 0.3292784820498091, 0.8042216845235024, 0.38655927452951433, 638841.7266838937, 0.00018052053643889606, 696089.5227448583, 306033.71947845194, 647586.1530397017, 2.9364353212564473e-06, 1.8141626048941053e-07, 1.9839407454048958, 0.009581836687546051, 244948.0753096773]",13644676.74926369,1.8916564,5378007.518928
"[20.807370146900766, 0.13762819800990067, 1.318492080558038, 28.19663018333868, 49.27979947767976, 0.695227866523217, 0.567509355571836, 0.024431738417774088, 0.46309214478318245, 0.6060205515911419, 0.11506558288211939, 466542.4917483261, 0.0001362465990911178, 506793.08863915346, 414705.8549664732, 885321.6216034394, 9.582681589935227e-06, 1.3421659399916874e-06, 2.08321628551209, 0.00022279804987590068, 799371.5861223949]",13337293.61041616,2.5366509,5378007.518928
"[18.20920017562079, 0.2112809605677435, 15.803300753056014, 36.47123754131074, 65.40311688371133, 0.7923325106730621, 0.8555498745200689, 0.07818087139345947, 0.43820983259444685, 0.4660624830066381, 0.6918450349296141, 83551.5028663509, 3.369849057711712e-05, 706395.5303585242, 976272.3206159518, 855422.5996144875, 7.645848589955773e-06, 9.823757843815e-06, 4.820817083501632, 0.00477633498482664, 638320.4077271369]",690854.57353043,2.70550561,690854.57353043
"[8.608297112545769, 0.0327771660331012, 44.46890169627965, 21.259101239557165, 89.50949505619334, 0.5369970837357425, 0.38368233483921915, 0.028606155041575973, 0.6380774151205846, 0.6306324943015581, 0.9765417257018538, 431955.7007692776, 0.00043242627309697133, 69458.95647317056, 494000.3492217829, 504638.74148671655, 8.047234055480856e-06, 7.563187759280322e-06, 4.376905629861738, 0.0031137086550657076, 853895.0228480926]",3987874402848.333,3.18550086,690854.57353043
"[38.419895437862266, 0.4811254249301654, 97.6239208964253, 27.111730691493293, 24.722882516670346, 0.9483330482866659, 0.18251114943347158, 0.046694011805350606, 0.06687186290435233, 0.6793543315523791, 0.8546180925058368, 844356.8453907043, 0.0008790893292661929, 446134.31944748433, 30022.43030410997, 227390.26940881732, 6.458926023704658e-07, 8.147985053309304e-06, 1.7654566412368524, 0.0068692732398484115, 60630.87718804474]",13644645.2119967,3.87936831,690854.57353043
"[17.808304569020127, 0.35732766068433486, 39.63386324569173, 10.363043818664245, 31.75041336791166, 0.4071505116334009, 0.7858100411926611, 0.007268736754521886, 0.30824701004307165, 0.7248431969619876, 0.2874055467849175, 240532.61902392886, 0.00014911633577963055, 646319.6358903317, 684234.9327345565, 398279.40200441366, 7.586130569957091e-07, 4.875628963024239e-06, 3.648578673806541, 0.00015692252173996117, 792330.3555729205]",13644224.73913541,4.58468437,690854.57353043
"[38.070520502698756, 0.48221138759008836, 68.95940728057488, 47.04097174763141, 5.125612920092334, 0.7551334807852839, 0.1718146520778958, 0.009276623984587298, 0.9131859973903842, 0.7214147616320231, 0.9817739879215117, 617266.4599858782, 0.0009074817837104658, 556456.0338567523, 610481.9472715724, 495189.15678948327, 4.057726344130184e-06, 3.4099571143030985e-06, 3.4422139682773802, 0.001452853911761362, 644465.819784649]",13644682.23823318,5.26925373,690854.57353043
"[26.565866864140613, 0.3459172193922247, 69.13878281030581, 15.935935201862506, 56.0490357341359, 0.24319295044180178, 0.12111725018716067, 0.04548186394934969, 0.9270366216132584, 0.1385856359017279, 0.9805713735436343, 578276.9047440141, 3.95105906586721e-05, 224742.20453111408, 650745.9636175584, 531855.285189021, 8.004800180575898e-06, 7.494523648945709e-06, 4.2055324972758505, 0.0051917728094779325, 941938.6892681071]",12898461.83976539,5.93592882,690854.57353043
"[11.504691620392691, 0.2172652164813193, 41.48909815956853, 22.440257250155394, 84.24215896911085, 0.8336589483647707, 0.06326160282178626, 0.058345536968138295, 0.9353897181269721, 0.12247327528647721, 0.49022310211696385, 386433.17380935705, 0.0008849895198725323, 123576.48992542838, 522578.213754026, 576468.2937547698, 3.2686228086580278e-06, 6.96968473765647e-06, 4.564045622246701, 0.0013971109851238911, 835821.6888013968]",12118191.05320173,6.58416319,690854.57353043
"[35.52616818838561, 0.25922013376472536, 76.61191131662501, 27.55433757073657, 28.290212319841512, 0.3775667838784236, 0.2776625205594453, 0.06808006172536774, 0.30443704499403706, 0.5224000520558121, 0.5062425343727874, 760242.4116811317, 0.0007078618903096196, 512901.6673691254, 294744.18641694897, 392187.57786558743, 6.904296916994831e-06, 1.8259782908533975e-07, 2.1689007795313175, 0.0032196564039595585, 65990.19001821386]",13631021.67570312,7.22831202,690854.57353043
"[19.075309944819313, 0.36830544474257987, 33.17319901406728, 18.861573734892445, 34.25775016219871, 0.1827840005537491, 0.49657133777971163, 0.020141751946514158, 0.7690475416173547, 0.7827579560220479, 0.043126913965495055, 209658.7961709479, 0.0004997211737768222, 670864.1844133745, 817481.463038587, 441777.6873795106, 7.66182594509751e-07, 5.657968580841063e-06, 4.129294836360696, 0.0025126413854687575, 729951.6838224933]",13627641.94886778,7.87074089,690854.57353043
"[32.128500678927715, 0.4922763230762193, 65.17525431519915, 43.939201345652435, 16.889374776578244, 0.8510421242190438, 0.8129779048864477, 0.03478856782090073, 0.428080455352704, 0.6215263989885028, 0.2941877193740374, 429426.396088746, 0.00017537035244916032, 594095.0385794648, 738349.9632452859, 631894.2652599604, 1.4275360274366131e-06, 7.804173489073327e-06, 4.388434828516187, 0.0061987497857339926, 642188.2897436371]",13624691.67595334,8.51922202,690854.57353043
"[24.078836008566178, 0.17161842668118715, 58.57651011744751, 25.71932869244808, 60.07021710521842, 0.22929233356107992, 0.5227106359980896, 0.0162438536719878, 0.6418528131047954, 0.9702977637766752, 0.27703147728973954, 514409.4447872044, 1.7877373518590506e-05, 484370.6154040847, 745361.327761963, 647119.3454192944, 6.841877210495611e-06, 5.200960718614325e-06, 4.572788326619144, 0.0004299793282458725, 835865.3214745389]",13624205.4333722,9.1844635,690854.57353043
"[14.795137986207916, 0.3821125208301277, 36.36070965614528, 25.650624171867033, 76.66975882399987, 0.10225379953619095, 0.676379634761587, 0.04931113054134087, 0.10919600612218015, 0.6007481186574714, 0.9473095497869688, 263748.70082593977, 0.0007284210562176316, 279452.0677023382, 567574.7964857494, 695915.8277651393, 8.069092868824303e-06, 1.4116771808201051e-06, 4.777383148254383, 0.006025326900824302, 804916.9224226845]",9081461.79774235,9.83696628,690854.57353043
"[32.72234009484782, 0.4952648357381453, 47.67883749343371, 29.08320029833537, 42.14145141255763, 0.8639270212106793, 0.40604876160299275, 0.03809566468131942, 0.5207992364376333, 0.277158244126253, 0.12240952343959831, 553804.0093827808, 0.0008590754619901731, 610441.4597999117, 631589.3502995435, 590949.7427350732, 3.0209916210930995e-06, 5.102482739340507e-06, 3.30040148067724, 0.0031502766742347037, 81319.38845644891]",13572955.68710643,10.46838641,690854.57353043
"[19.996459776387795, 0.3777286847187925, 26.692511492964115, 31.663339278368944, 37.35476567822673, 0.9911295099437735, 0.23308642000924773, 0.0034139631554601915, 0.11384433549927596, 0.7699681817645595, 0.730383492896017, 170814.5717236289, 0.00023770277992924292, 701032.6520945368, 966418.3824802835, 603591.8406356488, 8.050975522705785e-06, 2.310059533595869e-06, 4.707433505397077, 0.007831556177250959, 654405.1699156318]",13645829.49065991,11.10543203,690854.57353043
"[25.389580117827062, 0.3763485241153561, 53.09964706268747, 40.38727624446478, 30.78463275316866, 0.9250627508208561, 0.4000066576984125, 0.05984567734893591, 0.8825393000606817, 0.5285115181670879, 0.6796178919007622, 179354.21985367057, 0.0002817862262945456, 652667.1116054931, 907766.4522854985, 807890.420335425, 6.983112327289684e-06, 5.227992647270857e-08, 0.7807915222300519, 0.005044171685448359, 639813.9135898331]",13644694.91609558,11.75681806,690854.57353043
"[20.278564730859397, 0.4660674835712905, 47.294239111623874, 37.00003958239131, 64.77223349339425, 0.2220186257034953, 0.9333654942605962, 0.0677106552957582, 0.23520609677549076, 0.6859179019906081, 0.6468732732224886, 351570.39286234614, 0.00044912032689135416, 760106.2571351487, 895599.8134571918, 809055.3829687869, 6.713682885714697e-07, 1.048372967710602e-06, 4.974077169578139, 0.0015010267891867365, 696297.932823455]",13634230.68718137,12.39379025,690854.57353043
"[17.998904681334757, 0.03012300952930219, 31.7177802961134, 28.708070705152796, 69.75571604683736, 0.49100863633090763, 0.24868878646131543, 0.009439524418623974, 0.2870143136898766, 0.030933826267449886, 0.33866817534078253, 133512.19021059936, 0.0005678259888862811, 493360.0063727227, 696696.0445313059, 830505.9308824529, 1.4087852087717983e-06, 1.5704586614783842e-06, 4.980112998989922, 0.006931338346004103, 745924.5826514928]",916478.79935624,12.99109435,690854.57353043
"[29.233042363807087, 0.12862277390498894, 15.810568495137481, 32.37294798255628, 54.621795777493034, 0.30631367592725156, 0.5467293816871108, 0.06257025077050662, 0.6946306261855998, 0.9908057364525221, 0.7968770703624927, 351072.97385878314, 0.0005226417282925798, 703474.7452727085, 995286.6310533835, 821491.002434337, 8.430558575884823e-06, 9.095136513173238e-06, 4.3777454760527466, 0.008194738043935463, 135962.0096409301]",9402288337.046127,13.59849668,690854.57353043
"[20.353228779448237, 0.3816985388273589, 17.91268520119099, 43.56993086955947, 47.182286745998496, 0.7204479908214816, 0.017735566803087847, 0.05528931121051778, 0.4317987881081149, 0.7524653899000948, 0.35379392206788407, 120514.73055708274, 0.0008313469210261214, 729126.4493086528, 101911.7351238653, 779375.2042397392, 3.547305361139071e-06, 5.761832119379843e-06, 0.7350396247494908, 0.00800305401347825, 584360.4412112648]",13644700.70395201,14.29227519,690854.57353043
"[18.23757191740351, 0.18164515228300387, 41.82425969887354, 36.35196677399788, 45.3688483177826, 0.9544572217324379, 0.9702440788212537, 0.08466378051713228, 0.19761150463858668, 0.4322656949261385, 0.03922336858418073, 950241.8971550448, 0.0005067810433415543, 712492.3409840603, 74253.12095881253, 968504.3224574637, 4.60191917666362e-06, 8.693587345680204e-06, 1.6296445634864989, 0.004555500623722679, 637389.4400364736]",12871671.54760081,14.96973896,690854.57353043
"[16.558926966308054, 0.20781129775214774, 29.954333492300286, 47.020036743965996, 69.16951391350553, 0.1845259767282148, 0.30523887173671227, 0.0960250391678778, 0.7841857640864202, 0.286733076117315, 0.9926217707376624, 189059.81421741773, 0.00012823934428573752, 992049.490225066, 39169.60759174591, 957628.2338435297, 9.3130731137205e-06, 5.620961616376119e-06, 0.8135070319267079, 0.00023072659160161432, 566778.8727516483]",13643738.18278792,15.59157467,690854.57353043
"[20.918546734846522, 0.21200941775834758, 24.809365280458614, 32.784831525724194, 62.40566262266651, 0.8633631834671911, 0.8279845360522481, 0.04836685362059015, 0.4835657835029468, 0.4510402225684918, 0.723792392348356, 4933.399620383687, 0.0001358971002426881, 748062.5669636208, 827511.3544135297, 955286.6131166402, 8.62948307099109e-06, 2.483814162670148e-06, 0.6426595718762815, 0.004647846747443924, 668480.8752784445]",13644712.37196115,16.24836135,690854.57353043
"[23.73529621889587, 0.2576369573078203, 86.15265765613258, 35.47876189404508, 68.3380884221711, 0.7051645506329378, 0.742861894101901, 0.04695926233626971, 0.8408551252326972, 0.5240013926786944, 0.39333148919380223, 94157.9455962457, 0.000626044492301408, 787693.1826821133, 320731.4529027934, 38386.14358360425, 2.6160742130737035e-06, 8.602097093663697e-06, 0.9350163754859881, 0.009338392211779607, 242875.8685581335]",13643614.15751561,16.90092611,690854.57353043
"[20.662860807246403, 0.36353100031549707, 9.671414255635195, 3.35311109638225, 59.23299925704822, 0.38847438868521245, 0.7344967199505262, 0.07506117009641561, 0.7177723428905629, 0.6938356922417279, 0.9524665001863073, 72977.2314274829, 2.5547413062556684e-05, 747796.5845105248, 250747.74420328898, 945082.5017102319, 9.911185164226981e-06, 4.143448339820475e-06, 1.5472637832658256, 0.005661247195500054, 524797.9120030034]",13635279.02068316,17.56473303,690854.57353043
"[11.799571060986505, 0.46339033639569444, 25.21208225447416, 32.73252113856489, 63.68660799065149, 0.9782396167193104, 0.4821074122602511, 0.006288580238618945, 0.514237581700244, 0.35133424069185853, 0.3636222478063393, 716188.0591712066, 0.00013913074594073526, 765971.5334669112, 439094.2333388981, 102227.36981407739, 7.715430600416612e-06, 4.938892560260186e-06, 2.4130929729474264, 0.0006672727587193814, 635329.2749277751]",13644696.8228644,18.20493865,690854.57353043
"[13.230867120282804, 0.42552817757488787, 11.447753197720257, 5.618936250542546, 72.91166586525605, 0.13142643942209786, 0.6943848458116142, 0.09823054559218686, 0.2068511071010255, 0.8649869807621096, 0.2999571405310082, 41414.08233579711, 0.0007766870180429563, 179095.0967561989, 210985.28191665417, 82959.64140045363, 6.349314907347731e-06, 3.829965281592564e-06, 2.1936823744729947, 0.008020039870625788, 466141.27898276487]",12717169.90305941,18.80857038,690854.57353043
