params,sse,elapsed_time_s,best_sse_so_far
"[49.2324559886155, 0.4133703620052824, 73.89462343260257, 43.379624101034004, 97.04242945971541, 0.21163571290118927, 0.6468241930880054, 0.06007333617916839, 0.9239688151544762, 0.2463825734886168, 0.7717878806033607, 301567.9367232589, 0.0001089119315251992, 180294.30314570921, 321797.7967448353, 292218.6756176956, 6.8982964596484466e-06, 6.882376817305924e-06, 1.5867560466007156, 0.009858183013646151, 943730.948130903]",12878451.64901114,0.52219677,12878451.64901114
"[37.96298108299333, 0.07449425008820423, 20.30770476638594, 23.389064044472946, 83.62554136769901, 0.38514188722216647, 0.15982475782270275, 0.05630173767952159, 0.3719473882006284, 0.3407901902128998, 0.3632404199262756, 655853.876395327, 0.00020911905154081647, 845474.0971198403, 354672.0681220605, 590336.078967744, 1.822292846702838e-07, 8.91161046023001e-06, 3.9487165015357055, 0.0011581079392764763, 61280.989344705056]",12885312.58149443,0.6071043,12878451.64901114
"[46.62878006878362, 0.27897242211326917, 52.74822590338814, 42.56907393748279, 49.12914980511737, 0.5422419098558959, 0.56399983186409, 0.07697310954145306, 0.4464063163601231, 0.8287048604720662, 0.10784736566110008, 153416.61648520626, 4.195447710764277e-05, 646587.4341069479, 940773.6640955918, 333095.4032532804, 9.846399151940552e-06, 7.013330275881451e-06, 4.063595390891585, 0.00895017857410358, 467540.4262135109]",9975132.10648966,1.02212191,9975132.10648966
"[5.665631903822411, 0.26063857665956885, 87.91960192926675, 8.824181461029323, 56.710902427558224, 0.5200439106078346, 0.623067779794355, 0.00435274371772146, 0.8630909827083133, 0.16118097141284946, 0.1876962165060122, 79665.29568975662, 0.00019297204068949558, 123510.4377163558, 280865.48284010694, 22987.341885366408, 9.632568044450479e-06, 6.116365521651805e-06, 4.126693184822317, 0.007804978117566992, 338916.237955306]",8810584.11762369,1.39595127,8810584.11762369
"[9.4028042069321, 0.19098716690872056, 71.73651286645362, 40.57343931207777, 86.23198188351382, 0.6948451480544596, 0.41534747276038564, 0.07843188597965282, 0.8298938022232166, 0.6926022533757801, 0.43178351603275383, 482996.1651350406, 0.0007201367609754145, 25778.928140141496, 421665.38996799465, 588826.5373339024, 8.637319513015254e-06, 3.6748301932741296e-06, 3.242231870593145, 0.005766407513594788, 163340.02900182593]",78739612696986.55,1.47125649,8810584.11762369
"[24.683828399267362, 0.39812419410863203, 34.34359757635776, 29.03799031067344, 54.1161905298671, 0.3511424620908761, 0.3365650127633042, 0.013647590993982037, 0.8063363505343693, 0.42693483974794505, 0.8067084007792561, 647229.1368988453, 0.0006342652729391102, 461503.02578071546, 137399.292707809, 940078.3696938668, 1.9385331488907175e-06, 3.980105326928999e-06, 1.552538330220349, 0.007294612106259567, 820778.5013070108]",13164573.43004693,2.18862486,8810584.11762369
"[6.679751979495391, 0.17277647661054205, 3.533825228779793, 12.997326634203786, 17.974843220720203, 0.9009291681095203, 0.07771747623354075, 0.016761739168835485, 0.4362595532015751, 0.4124056874887572, 0.40277266587659155, 246973.41139168257, 0.00023604184482446102, 928075.2432072512, 826357.4881695961, 990978.2830170718, 6.06424001536308e-06, 8.694292212159416e-06, 3.9940208788189517, 0.008176689838056181, 502106.1250933056]",13003229.65802188,2.91039348,8810584.11762369
"[38.417453633172755, 0.013652533480586274, 8.853149328604673, 48.3139585191216, 85.42668562251808, 0.34302134188158173, 0.8370820522759622, 0.002663104297768222, 0.1764154047394229, 0.437180376739543, 0.271310604778601, 762813.5625866053, 0.0008562103328018885, 493904.44387453626, 905901.1044407907, 65149.82492027038, 6.942160643135033e-06, 4.872671658357376e-06, 4.489152408506708, 0.0017755190154168626, 922100.7776174494]",3205872.969348,3.22652388,3205872.969348
"[48.71305901723097, 0.4987828571366587, 50.35668327461092, 19.39433135859397, 30.326977908940066, 0.4961115550723522, 0.5343393311030736, 0.02285578031758027, 0.6158195454381727, 0.9952875738019056, 0.8165762789216713, 697231.7891353051, 0.0005790834833183508, 32828.841352013624, 63169.40681313291, 384328.9231873463, 2.294285509582058e-06, 8.573535149809934e-06, 3.876301043054733, 0.0026368082087188283, 6199.640626927473]",784470230092.0835,3.74813914,3205872.969348
"[15.46388048364556, 0.04264005721585538, 82.04668185099652, 46.82695751318149, 5.235906379250642, 0.32491236096803117, 0.9062228742255405, 0.0831000883878224, 0.24410042513739522, 0.39710857788674664, 0.42059256689727287, 31688.09185985126, 0.0005483022858248343, 716163.6010715123, 573412.4595829648, 682024.5005565122, 6.351447433394374e-06, 4.4430669544330905e-06, 2.214078294692361, 0.0014599926482635748, 933340.9303258928]",13164669.57450985,4.52369976,3205872.969348
