params,sse,elapsed_time_s,best_sse_so_far
"[9.27660708210211, 0.16225867151053242, 17.799655389136557, 13.087056633712741, 89.99321720928432, 0.24000929616044675, 0.37811223053268406, 0.09199035511607316, 0.2862345973276021, 0.1486163129217116, 0.6306830915905579, 435366.26498700684, 0.00039738803846594217, 120604.22450720142, 322114.24319304526, 823133.0677099004, 8.722797548065912e-06, 4.7066940008573985e-06, 1.1590979583352041, 0.008403961062834303, 988889.1888538193]",10248458.87230135,0.99186635,10248458.87230135
"[4.819091298678958, 0.08162228477838412, 28.59285541412186, 40.41761028230885, 21.057224765391545, 0.797499093201814, 0.8040701248596003, 0.06263305297331181, 0.6036333590901298, 0.1741915877667239, 0.5643762462649807, 589973.7274168578, 0.0006943539923669221, 635971.349783381, 293571.79699377704, 3975.3058101211827, 9.537172872936583e-06, 2.9772220910099957e-06, 2.9571339208713523, 0.008723188268049445, 144106.80805971925]",4469032978811.112,1.05928779,10248458.87230135
"[13.458023415087316, 0.4275912091216219, 29.605825410359174, 47.35433704977284, 81.80159669381258, 0.12899073180483409, 0.31202010230927474, 0.07038844409173228, 0.3605798618504725, 0.27841884104342246, 0.6582235166213353, 319134.26107579225, 0.0009996697986022428, 115153.53667248736, 402834.471880059, 376788.4441763162, 7.464613404482226e-06, 5.554573498299721e-06, 3.64409753570084, 0.0014478876606418799, 646476.8289912773]",7957253.24617535,1.49293518,7957253.24617535
"[45.52872126672152, 0.20780301059484033, 40.81297159227887, 19.35969019210939, 44.41936674921114, 0.8114231337640155, 0.6795560434904097, 0.059599323161099844, 0.3319243477064735, 0.035476107225352556, 0.7190416660659432, 973357.112567431, 0.000595579703668344, 652309.0674908906, 766380.5271094192, 244308.50809087488, 6.736181040501595e-06, 1.3204449349458836e-06, 4.273942642276939, 0.007749372181743271, 201140.73605022213]",36710368.10716487,1.74702239,7957253.24617535
"[47.04842618520504, 0.1338310958227114, 78.56118425878245, 36.601538278270525, 48.43840449664456, 0.41518271093531073, 0.17572964505439362, 0.05032490651684279, 0.9904832871098543, 0.22893439169128704, 0.8007681278628245, 799097.1994156062, 0.00032475862081245263, 846374.0549789685, 222219.3145010854, 736901.4401468412, 7.233824327140499e-06, 4.361242263175354e-06, 3.511556768916511, 0.0019287717623214552, 77738.82748971792]",12157508.86431748,2.42235994,7957253.24617535
"[36.295136495059914, 0.18446136858614098, 82.57936693713845, 28.04579259784939, 71.58329618885841, 0.9686787255167506, 0.1514689447546312, 0.023690056615317274, 0.3045135828270496, 0.5239222994759613, 0.5043058308812872, 544922.3180234209, 0.0004872915831841542, 697123.9327538422, 183882.74527953155, 699193.7381024009, 8.834145100901826e-06, 5.6638883320173054e-06, 0.9073962739468853, 0.007331512923867633, 435666.79283405846]",12979462.91473961,3.06701422,7957253.24617535
"[20.81843484484534, 0.4504427217751324, 68.46993801697414, 45.35426450287339, 30.457535242081494, 0.5716653354910314, 0.3663685921110537, 0.018253101134257578, 0.417185084577422, 0.11966888468058287, 0.5685879415382019, 148910.2467551311, 0.0006505779357790225, 531051.0110082862, 365439.31262444495, 296326.54142166977, 5.62479498046293e-06, 5.037020786184073e-06, 4.917867475185172, 0.00901962422637184, 744365.6683926589]",12664793.74058703,3.71201468,7957253.24617535
"[10.77140041695843, 0.3091441761645007, 19.702703501213733, 17.349616009813573, 88.9972832933804, 0.026922377997195206, 0.8171002244605505, 0.05545211370234132, 0.3932099892125833, 0.5343533507786005, 0.2713520438560433, 406088.89857947244, 0.0008662637373556721, 120430.45697056528, 333314.5972756477, 734306.094747694, 4.202229421016079e-06, 6.411535566211285e-06, 2.18161956609723, 0.006483237883920434, 919832.3791627567]",5390766.53641594,4.20045161,5390766.53641594
"[24.31191491051836, 0.08081606917414913, 42.08299544982692, 13.842751280313948, 56.05074669942735, 0.15758103537168988, 0.9353070948340593, 0.018143520584562395, 0.016364400910720882, 0.8531573588798296, 0.14547815360282312, 898713.2946647685, 0.0009588493045985576, 335944.3338792721, 84631.60047505623, 564252.000407349, 1.3021883773202874e-06, 1.4989120397718337e-06, 1.454809554628551, 0.0041132814769624165, 781896.229501389]",12978951.39189765,4.4131515,5390766.53641594
"[6.4813912324371366, 0.3075252852822086, 14.292109028736556, 12.414026326451026, 66.93287895776412, 0.43653977342915207, 0.45129287328866186, 0.08025235618059928, 0.16031185996474173, 0.868522060933773, 0.9495462108658859, 553517.9197290422, 0.0005698102750276409, 306882.3925952796, 330304.1754562131, 384400.92608016566, 9.930999639108984e-06, 5.822049792160911e-06, 3.7551429719780707, 0.009804123910272551, 488818.28650178347]",1131982.68366825,4.59574819,1131982.68366825
"[41.475836687985996, 0.03341391990811127, 31.989479288268736, 6.080523291134643, 28.53328193992334, 0.5590930124423054, 0.9739243478600174, 0.07967006913070021, 0.010650184588932401, 0.061404344896677, 0.4598610997852376, 564170.5953920658, 0.00014967045606044, 720528.1880894378, 572551.1783155886, 78828.55759823363, 6.7891626130766945e-06, 3.4598719998478345e-06, 4.1075811567594895, 0.007002994461847468, 165123.54545488837]",798812.33672575,4.92015314,798812.33672575
"[34.45933882881984, 0.4421499001564667, 77.29523967808825, 22.927218912751925, 39.739805317374426, 0.375611344444856, 0.41062659527167655, 0.08481261317783095, 0.7904767749471742, 0.7270842303173373, 0.41949359743958614, 746932.5263709486, 0.00049505263054759, 76614.89271786937, 649149.8023931854, 768182.2121333187, 4.611472681859486e-06, 5.356104603049403e-06, 2.629889947626689, 0.0024442203949106398, 490325.19364755054]",12861580.8249317,5.18745899,798812.33672575
"[33.668063518705814, 0.3427538732157175, 71.9670850441112, 48.97092569542006, 53.721200312092236, 0.9748843571140826, 0.10921860549177452, 0.0038443979954401455, 0.11916001001826192, 0.5225358956583417, 0.3597117721619337, 193197.18206049345, 0.0007332230729980159, 811824.3113988136, 523919.10837283655, 108437.95310644837, 3.68236905754585e-07, 4.941861453736447e-06, 4.993997043375251, 0.005790231012466228, 526258.3500158553]",12980922.45109397,5.8413868,798812.33672575
"[29.6131465549155, 0.3759444832417022, 10.155094418643591, 12.787869643413151, 17.218802718577333, 0.47569412131460065, 0.5133235056299191, 0.03249720593353861, 0.4614219991306363, 0.6634205377416761, 0.42699406191146383, 96635.99840973309, 0.00035643948992208777, 184569.26362431736, 84614.76777105272, 935689.7172865389, 9.708287634848047e-07, 4.793488224534678e-06, 1.8066872172795592, 0.009792901128850553, 798799.9521926654]",12972049.0565848,6.48611522,798812.33672575
"[23.523465519979332, 0.4591393842688302, 57.81580172444244, 14.547961204029264, 54.42552362527641, 0.7885183810838315, 0.2404346738988783, 0.009868284804820687, 0.41935600334995615, 0.2720923157657791, 0.29048960707462934, 289813.68179469014, 0.00025950968724807984, 413663.97314237116, 900850.158040021, 777336.0597940483, 7.66557384776508e-06, 7.710208545437034e-06, 3.0221290239471905, 0.00758723522676412, 612223.2500904487]",12979184.62087556,7.12580204,798812.33672575
